"BEGIN_YEARMONTH","BEGIN_DAY","END_YEARMONTH","END_DAY","EVENT_ID","STATE","YEAR","MONTH_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","BEGIN_RANGE","BEGIN_AZIMUTH","BEGIN_LOCATION","END_RANGE","END_AZIMUTH","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON"
201008,7,201008,7,239960,"MINNESOTA",2010,"August",0,0,0,0,NA,NA,"EF1",2.19,75,3,"SW","WRIGHTSTOWN",1,"S","WRIGHTSTOWN",46.25,-95.22,46.2655,-95.18
201003,10,201003,10,270694,"ALABAMA",2010,"March",0,0,0,0,0,0,"EF0",0.56,50,1,"SSE","YELLOW PINE",1,"ESE","YELLOW PINE",31.3893,-88.4267,31.3938,-88.4188
201008,12,201008,12,247523,"TEXAS",2010,"August",0,0,0,0,0,0,"EF0",0.11,20,6,"WSW","DEL MAR",6,"WSW","DEL MAR",25.9911,-97.2599,25.9898,-97.2609
201001,21,201001,21,205491,"TENNESSEE",2010,"January",0,0,0,0,NA,NA,"EF0",0.2,30,3,"ESE","COMFORT",3,"ESE","COMFORT",35.11,-85.69,35.11,-85.69
201003,28,201003,28,213378,"SOUTH CAROLINA",2010,"March",0,0,0,0,0,3000,"EF1",1.26,110,2,"ENE","WOODLAWN",3,"ENE","WOODLAWN",33.633,-82.119,33.642,-82.1
201003,28,201003,28,213386,"SOUTH CAROLINA",2010,"March",0,0,0,0,0,4000,"EF0",2,60,4,"SW","RION",2,"SW","RION",34.26,-81.18,34.2768,-81.1514
201003,28,201003,28,213199,"FLORIDA",2010,"March",0,0,0,0,5000,0,"EF0",2.31,200,2,"WSW","WEST EAUGALLIE",0,"N","WEST EAUGALLIE",28.119,-80.7135,28.1335,-80.6793
201006,7,201006,7,228499,"NEBRASKA",2010,"June",0,0,0,0,NA,NA,"EF0",0.5,100,15,"E","PORTER",15,"E","PORTER",42.01,-103.66,42.01,-103.66
201011,30,201011,30,266416,"MISSISSIPPI",2010,"November",0,0,0,0,1000,0,"EF0",0.05,25,8,"N","PEARLINGTON",8,"N","PEARLINGTON",30.3658,-89.62,30.3658,-89.62
201006,7,201006,7,228597,"NEBRASKA",2010,"June",0,0,0,0,60000,NA,"EF1",2,100,3,"SW","BAYARD",3,"SW","BAYARD",41.7193,-103.3611,41.7193,-103.3611
201011,30,201011,30,266424,"MISSISSIPPI",2010,"November",0,0,0,0,5000,0,"EF0",4.81,25,4,"ESE","BEECHWOOD",3,"W","PEORIA",31.11,-90.8089,31.1288,-90.7306
201006,7,201006,7,228606,"NEBRASKA",2010,"June",0,0,0,0,NA,NA,"EF0",1,100,5,"SE","BROADWATER",5,"SE","BROADWATER",41.5488,-102.7816,41.5488,-102.7816
201012,1,201012,1,269821,"MARYLAND",2010,"December",0,0,0,0,10000,NA,"EF0",2.31,50,2,"SSW","BERRY",0,"NE","BERRY",38.6262,-76.9655,38.6553,-76.9447
201005,1,201005,1,219845,"ARKANSAS",2010,"May",0,0,0,0,0,0,"EF0",1.68,75,3,"W","BOUGHTON",2,"WNW","BOUGHTON",33.859,-93.388,33.862,-93.359
201001,21,201001,21,209223,"CALIFORNIA",2010,"January",0,0,0,0,0,0,"EF0",1.51,67,0,"ENE","MONTALVO",1,"SSW","WEST SATICOY",34.2518,-119.1949,34.2664,-119.1754
201001,19,201001,19,209224,"CALIFORNIA",2010,"January",0,0,0,0,0,0,"EF0",0.14,10,0,"SSE","ELLWOOD",0,"SE","ELLWOOD",34.4248,-119.877,34.4268,-119.8773
201006,26,201006,26,246229,"SOUTH DAKOTA",2010,"June",0,0,0,0,0,0,"EF0",0.05,50,6,"NE","WOLF CREEK",6,"NE","WOLF CREEK",43.42,-97.54,43.42,-97.539
201005,21,201005,21,237336,"KENTUCKY",2010,"May",0,0,0,0,10000,0,"EF0",0.65,50,5,"NW","NORTH FOUR CORNERS",4,"NW","NORTH FOUR CORNERS",37.7962,-86.1528,37.7896,-86.1441
201006,26,201006,26,229062,"MINNESOTA",2010,"June",0,0,0,0,NA,NA,"EF1",3,100,2,"SE","LUNA",2,"W","RADIUM",48.23,-96.72,48.23,-96.6635
201006,26,201006,26,229066,"MINNESOTA",2010,"June",0,0,0,0,0,0,"EF0",8.05,50,1,"SW","KEY WEST",8,"N","CROOKSTON",47.92,-96.79,47.8958,-96.62
201006,20,201006,20,233577,"WYOMING",2010,"June",0,0,0,0,0,0,"EF0",0.25,25,15,"WSW","BILL",15,"WSW","BILL",43.1469,-105.5451,43.1469,-105.5451
201006,20,201006,20,233584,"WYOMING",2010,"June",0,0,0,0,0,0,"EF0",7.19,100,2,"SE","CHUGWATER",9,"ESE","CHUGWATER",41.7295,-104.8026,41.7002,-104.6688
201005,26,201005,26,232420,"ILLINOIS",2010,"May",0,0,0,0,0,0,"EF0",0.4,30,2,"E","ANCONA",2,"E","ANCONA",41.03,-88.8316,41.03,-88.824
201005,1,201005,1,219850,"TEXAS",2010,"May",0,0,0,0,50000,0,"EF0",0.91,150,2,"WSW","BIVINS",2,"WNW","BIVINS",33.0118,-94.2,33.025,-94.1995
201006,11,201006,11,243566,"KANSAS",2010,"June",0,0,0,0,0,0,"EF0",0.67,25,7,"NW","LUCERNE",7,"NW","LUCERNE",39.5588,-100.296,39.5675,-100.3017
201006,22,201006,22,233300,"NEBRASKA",2010,"June",0,0,0,0,0,0,"EF0",0.5,30,2,"S","HARRISBURG",2,"S","HARRISBURG",41.5211,-103.75,41.5211,-103.75
201006,22,201006,22,233304,"NEBRASKA",2010,"June",0,0,0,0,0,0,"EF0",0.5,30,11,"ESE","HARRISBURG",11,"ESE","HARRISBURG",41.4891,-103.5536,41.4891,-103.5536
201004,22,201004,22,244454,"KANSAS",2010,"April",0,0,0,0,180000,NA,"EF1",9.4,1760,11,"WSW","LAKIN",3,"WNW","LAKIN",37.8838,-101.4324,37.9576,-101.2969
201004,22,201004,22,244457,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",4.9,440,4,"W","LAKIN WHITE ARPT",4,"NNW","LAKIN WHITE ARPT",37.9607,-101.3247,38.0209,-101.2774
201004,22,201004,22,244461,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",2.61,150,4,"N","LAKE MC KINNEY",7,"N","LAKE MC KINNEY",38.0391,-101.2145,38.0744,-101.1972
201005,19,201005,19,228019,"TEXAS",2010,"May",0,0,0,0,28000,0,"EF1",0.44,100,3,"SSW","PRINGLE",3,"SSW","PRINGLE",35.9099,-101.4705,35.911,-101.4628
201004,22,201004,22,244478,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",0.93,75,8,"WSW","FRIEND",7,"WSW","FRIEND",38.2255,-101.0559,38.2385,-101.0518
201004,22,201004,22,244482,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",3.32,440,10,"SW","SHALLOW WATER",8,"WSW","SHALLOW WATER",38.2706,-101.0356,38.3185,-101.0414
201004,22,201004,22,244483,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",2.72,200,11,"NNW","LAKIN WHITE ARPT",13,"NNW","LAKE MC KINNEY",38.1258,-101.2949,38.1587,-101.2674
201005,15,201005,15,226253,"LOUISIANA",2010,"May",0,0,0,0,10000,0,"EF0",0.06,20,0,"N","LUCY",0,"N","LUCY",30.05,-90.5,30.05,-90.5
201007,4,201007,4,229601,"NEBRASKA",2010,"July",0,0,0,0,0,0,"EF0",0.5,50,7,"N","BUSHNELL",7,"N","BUSHNELL",41.3313,-103.9,41.3313,-103.9
201007,4,201007,4,229604,"NEBRASKA",2010,"July",0,0,0,0,0,0,"EF0",0.5,30,9,"SW","BUSHNELL",9,"SW","BUSHNELL",41.1379,-104.0224,41.1379,-104.0224
201006,7,201006,7,228952,"NEBRASKA",2010,"June",0,0,0,0,0,0,"EF0",0.25,100,2,"E","GERING",2,"E","GERING",41.82,-103.6312,41.82,-103.6312
201005,31,201005,31,233264,"OKLAHOMA",2010,"May",0,0,0,0,0,0,"EF0",1.75,25,11,"NW","KEYES",10,"NW","KEYES",36.9326,-102.3907,36.9412,-102.361
201007,4,201007,4,229585,"WYOMING",2010,"July",0,0,0,0,0,0,"EF0",1,25,5,"E","CHUGWATER",5,"E","CHUGWATER",41.75,-104.733,41.75,-104.733
201007,4,201007,4,229588,"WYOMING",2010,"July",0,0,0,0,0,0,"EF0",0.25,25,16,"NNE","HORSE CREEK",16,"NNE","HORSE CREEK",41.6273,-105.0653,41.6273,-105.0653
201007,6,201007,6,237664,"NEBRASKA",2010,"July",0,0,0,0,0,0,"EF0",0.5,25,8,"S","POTTER",8,"S","POTTER",41.1,-103.31,41.1,-103.31
201004,22,201004,22,244485,"KANSAS",2010,"April",0,0,0,0,210000,0,"EF1",7.2,440,3,"WNW","SHALLOW WATER",1,"SSE","SCOTT CITY ARPT",38.389,-100.9654,38.4527,-100.871
201004,22,201004,22,244487,"KANSAS",2010,"April",0,0,0,0,0,0,"EF0",1.4,150,2,"S","MANNING",2,"SE","MANNING",38.5157,-100.7167,38.5324,-100.7019
201006,21,201006,21,234729,"KANSAS",2010,"June",0,0,0,0,0,0,"EF0",0.51,10,6,"E","ANGELUS",7,"E","ANGELUS",39.18,-100.55,39.1862,-100.5448
201006,7,201006,7,228942,"NEBRASKA",2010,"June",0,0,0,0,NA,NA,"EF1",19,100,0,"E","SCOTTSBLUFF",5,"SE","MC GREW",41.87,-103.6451,41.71,-103.35
201006,11,201006,11,234265,"KANSAS",2010,"June",0,0,0,0,1e+05,0,"EF1",3.48,50,3,"WNW","LUCERNE",5,"NNW","LUCERNE",39.5143,-100.2531,39.5646,-100.255
201007,4,201007,4,229594,"WYOMING",2010,"July",0,0,0,0,0,0,"EF0",0.25,20,7,"E","CHEYENNE",7,"E","CHEYENNE",41.13,-104.6893,41.13,-104.6893
201006,7,201006,7,228945,"NEBRASKA",2010,"June",0,0,0,0,NA,NA,"EF0",0.25,100,1,"SW","SCOTTSBLUFF ARPT",1,"SW","SCOTTSBLUFF ARPT",41.8698,-103.6137,41.8698,-103.6137
201002,27,201002,27,218436,"CALIFORNIA",2010,"February",0,0,0,0,0,0,"EF0",0.5,20,5,"E","TUPMAN",5,"E","TUPMAN",35.3,-119.27,35.3,-119.27
201010,26,201010,26,259756,"ALABAMA",2010,"October",0,0,0,0,2e+05,0,"EF1",4.46,175,0,"SE","WHITON",2,"SE","CHIGGER HILL",34.3474,-86.0671,34.3798,-85.9995
201010,26,201010,26,259757,"ALABAMA",2010,"October",0,0,0,0,5000,0,"EF0",0.88,50,1,"SSE","MC VILLE",1,"ESE","MC VILLE",34.2692,-86.124,34.2693,-86.1085
201010,26,201010,26,259755,"ALABAMA",2010,"October",0,0,0,0,5000,0,"EF0",0.29,50,2,"S","GREENBRIER",2,"SSE","GREENBRIER",34.6431,-86.8463,34.645,-86.8418
201004,8,201004,8,217777,"SOUTH CAROLINA",2010,"April",0,0,0,0,40000,0,"EF0",0.15,20,2,"WNW","BLUFFTON",2,"WNW","BLUFFTON",32.24,-80.9,32.24,-80.9
201004,24,201004,24,219274,"KENTUCKY",2010,"April",0,0,0,0,4000,0,"EF0",2,40,2,"SW","PEMBROKE",0,"SE","PEMBROKE",36.7595,-87.3756,36.78,-87.35
201012,31,201012,31,273733,"ILLINOIS",2010,"December",0,0,0,0,0,0,"EF0",3.64,50,2,"WNW","MOZIER",3,"E","BELLEVIEW",39.3114,-90.7808,39.3425,-90.7258
201012,31,201012,31,273739,"ILLINOIS",2010,"December",0,0,0,0,0,0,"EF0",1.74,100,3,"SW","DURLEY",1,"SSW","DURLEY",38.9006,-89.3979,38.9171,-89.3735
201006,16,201006,16,246489,"SOUTH DAKOTA",2010,"June",0,0,0,0,NA,NA,"EF2",0.4,50,6,"ENE","LANTRY",6,"ENE","LANTRY",45.06,-101.33,45.0581,-101.3223
201006,20,201006,20,247295,"KANSAS",2010,"June",0,0,0,0,0,0,"EF0",0.49,100,3,"WNW","MODOC",2,"WNW","MODOC",38.4958,-101.1289,38.4931,-101.1205
201006,11,201006,11,227877,"NEBRASKA",2010,"June",0,0,0,0,0,0,"EF0",0.1,10,2,"SE","SUTHERLAND",2,"SE","SUTHERLAND",41.15,-101.11,41.15,-101.11
201006,11,201006,11,227878,"NEBRASKA",2010,"June",0,0,0,0,0,0,"EF0",0.1,10,6,"WSW","NORTH PLATTE",6,"WSW","NORTH PLATTE",41.13,-100.89,41.13,-100.89
201006,27,201006,27,231744,"PENNSYLVANIA",2010,"June",0,0,0,0,120000,0,"EF0",0.16,75,1,"ENE","WALDAMEER PARK",1,"ENE","WALDAMEER PARK",42.1263,-80.1456,42.1285,-80.1461
201006,13,201006,13,242275,"OKLAHOMA",2010,"June",0,0,0,0,0,0,"EF0",5.11,25,6,"SSW","ELMWOOD",5,"SE","ELMWOOD",36.53,-100.55,36.556,-100.4638
201006,13,201006,13,242276,"OKLAHOMA",2010,"June",0,0,0,0,0,0,"EF0",3.07,25,11,"E","ELMWOOD",3,"S","CLEAR LAKE",36.62,-100.3216,36.6316,-100.2681
201006,20,201006,20,246085,"KANSAS",2010,"June",0,0,0,0,NA,NA,"EF0",0.87,100,3,"NW","MODOC",3,"NW","MODOC",38.5117,-101.1271,38.5176,-101.1128
201008,6,201008,6,238961,"SOUTH CAROLINA",2010,"August",0,0,0,0,6000,0,"EF0",6.19,40,5,"NE","BRANCHVILLE",1,"NW","DORANGE",33.3152,-80.7664,33.231,-80.7298
201006,13,201006,13,242277,"OKLAHOMA",2010,"June",0,0,0,0,0,0,"EF0",2.51,25,10,"W","SLAPOUT",4,"SSE","CLEAR LAKE",36.62,-100.3003,36.6288,-100.2564
201006,3,201006,3,236515,"ILLINOIS",2010,"June",0,0,0,0,0,0,"EF0",0.1,15,3,"W","OWANECO",3,"WNW","OWANECO",39.4879,-89.2533,39.4881,-89.2514
201005,11,201005,11,228435,"OHIO",2010,"May",0,0,0,0,25000,0,"EF0",4.62,50,2,"SE","BALLVILLE",2,"SSW","ERLIN",41.3029,-83.1045,41.3419,-83.0323
201004,17,201004,17,225832,"TEXAS",2010,"April",0,0,0,0,5000,0,"EF0",0.51,50,4,"ESE","KINGSVILLE ARPT",5,"ESE","KINGSVILLE ARPT",27.5211,-97.9681,27.5137,-97.9684
201004,24,201004,24,228071,"ALABAMA",2010,"April",0,0,0,0,10000,0,"EF1",1.4,200,3,"N","ARCOLA",4,"N","ARCOLA",32.6074,-87.7779,32.6236,-87.7636
201004,24,201004,24,228100,"ALABAMA",2010,"April",0,0,0,0,55000,0,"EF1",2.38,400,2,"W","CARONA",1,"N","CARONA",33.6997,-87.5089,33.7182,-87.474
201004,24,201004,24,228124,"ALABAMA",2010,"April",0,0,0,0,10000,0,"EF1",3.26,200,5,"WSW","HAYDEN",2,"SW","HAYDEN",33.844,-86.8488,33.8532,-86.7931
201004,22,201004,22,220457,"COLORADO",2010,"April",0,0,0,0,0,0,"EF0",1.42,25,14,"N","FIRSTVIEW",15,"N","FIRSTVIEW",39.0222,-102.4963,39.0365,-102.4773
201005,20,201005,20,233350,"MISSOURI",2010,"May",0,0,0,0,8000,0,"EF0",0.45,25,3,"WSW","SEDALIA",2,"WSW","SEDALIA",38.69,-93.28,38.6914,-93.2719
201005,20,201005,20,233351,"MISSOURI",2010,"May",0,0,0,0,0,0,"EF0",0.16,25,2,"SW","BURTVILLE",2,"SW","BURTVILLE",38.66,-93.65,38.6603,-93.6489
201004,24,201004,24,225548,"MISSOURI",2010,"April",0,0,0,0,0,0,"EF0",4.36,325,1,"WSW","UNIVERSITY CITY",1,"ESE","BRECKENRIDGE HILLS",38.6648,-90.3403,38.7162,-90.3872
201004,30,201004,30,225452,"ILLINOIS",2010,"April",0,0,0,0,0,0,"EF2",7.24,350,2,"SW","MERRIMAC",2,"NE","WARNOCK",38.3505,-90.3498,38.4186,-90.2482
201004,30,201004,30,225488,"MISSOURI",2010,"April",0,0,0,0,0,0,"EF0",0.32,50,4,"SSW","ANNAPOLIS",3,"SSW","ANNAPOLIS",37.32,-90.74,37.3229,-90.7355
201004,30,201004,30,219842,"ARKANSAS",2010,"April",0,0,0,0,2e+05,0,"EF2",1.85,150,1,"WSW","DIERKS",1,"ENE","DIERKS",34.114,-94.037,34.126,-94.008
201004,30,201004,30,219843,"ARKANSAS",2010,"April",0,0,0,0,5000,0,"EF0",0.81,75,4,"NW","CENTER PT",3,"NNW","CENTER PT",34.071,-93.97,34.0724,-93.9559
201004,30,201004,30,225465,"ILLINOIS",2010,"April",0,0,0,0,0,0,"EF0",0.11,50,2,"NW","FOSTER POND",2,"NW","FOSTER POND",38.342,-90.2423,38.343,-90.2408
201004,30,201004,30,225477,"MISSOURI",2010,"April",0,0,0,0,0,0,"EF0",0.73,100,3,"ENE","RICHWOODS",4,"ENE","RICHWOODS",38.1917,-90.785,38.196,-90.7726
201004,24,201004,24,228348,"MISSOURI",2010,"April",0,0,0,0,20000,0,"EF0",0.51,70,5,"SSW","BRANSON MEM ARPT",5,"SSW","BRANSON MEM ARPT",36.5847,-93.3165,36.5878,-93.3082
201004,24,201004,24,225167,"ALABAMA",2010,"April",0,0,0,0,77000,0,"EF1",6.56,200,5,"S","BANKSTON",1,"E","BERRY",33.6024,-87.6769,33.6494,-87.5778
201005,18,201005,18,226167,"NEBRASKA",2010,"May",0,0,0,0,0,0,"EF0",0.25,25,5,"SW","BUSHNELL",5,"SW","BUSHNELL",41.1788,-103.968,41.1788,-103.968
201004,8,201004,8,225133,"ALABAMA",2010,"April",0,0,0,0,15000,0,"EF0",0.2,50,1,"NW","BLOUNTSVILLE",1,"NW","BLOUNTSVILLE",34.0884,-86.5937,34.091,-86.592
201004,23,201004,23,225025,"MISSOURI",2010,"April",0,0,0,0,0,0,"EF0",0.12,10,6,"SSE","NEW TRUXTON",6,"SSE","NEW TRUXTON",38.9051,-91.1803,38.9065,-91.1791
201004,23,201004,23,225026,"MISSOURI",2010,"April",0,0,0,0,0,0,"EF0",0.21,20,1,"W","HAWK PT",1,"W","HAWK PT",38.97,-91.1486,38.9725,-91.1464
